schemaname,tablename,indexname,indexdef
public,notifiche_dispositivi,notifiche_dispositivi_attivo_idx,CREATE INDEX notifiche_dispositivi_attivo_idx ON public.notifiche_dispositivi USING btree (attivo)
public,notifiche_dispositivi,notifiche_dispositivi_pkey,CREATE UNIQUE INDEX notifiche_dispositivi_pkey ON public.notifiche_dispositivi USING btree (id)
public,notifiche_dispositivi,notifiche_dispositivi_token_unique,CREATE UNIQUE INDEX notifiche_dispositivi_token_unique ON public.notifiche_dispositivi USING btree (token)
public,notifiche_dispositivi,notifiche_dispositivi_user_idx,CREATE INDEX notifiche_dispositivi_user_idx ON public.notifiche_dispositivi USING btree (user_id)
public,notifiche_messaggi,notifiche_messaggi_anno_idx,CREATE INDEX notifiche_messaggi_anno_idx ON public.notifiche_messaggi USING btree (anno_accademico)
public,notifiche_messaggi,notifiche_messaggi_chiave_univoca_idx,CREATE UNIQUE INDEX notifiche_messaggi_chiave_univoca_idx ON public.notifiche_messaggi USING btree (chiave_univoca) WHERE (chiave_univoca IS NOT NULL)
public,notifiche_messaggi,notifiche_messaggi_pkey,CREATE UNIQUE INDEX notifiche_messaggi_pkey ON public.notifiche_messaggi USING btree (id)
public,notifiche_messaggi,notifiche_messaggi_programmata_idx,CREATE INDEX notifiche_messaggi_programmata_idx ON public.notifiche_messaggi USING btree (programmata_per)
public,notifiche_messaggi,notifiche_messaggi_stato_idx,CREATE INDEX notifiche_messaggi_stato_idx ON public.notifiche_messaggi USING btree (stato)
public,notifiche_regole,notifiche_regole_attive_idx,"CREATE INDEX notifiche_regole_attive_idx ON public.notifiche_regole USING btree (attiva, tipo_attivazione)"
public,notifiche_regole,notifiche_regole_codice_key,CREATE UNIQUE INDEX notifiche_regole_codice_key ON public.notifiche_regole USING btree (codice)
public,notifiche_regole,notifiche_regole_pkey,CREATE UNIQUE INDEX notifiche_regole_pkey ON public.notifiche_regole USING btree (id)
public,notifiche_regole,notifiche_regole_tabella_idx,CREATE INDEX notifiche_regole_tabella_idx ON public.notifiche_regole USING btree (tabella) WHERE (tabella IS NOT NULL)
public,partecipazioni_annuali,partecipazioni_annuali_anno_stato_idx,"CREATE INDEX partecipazioni_annuali_anno_stato_idx ON public.partecipazioni_annuali USING btree (anno_accademico, stato)"
public,partecipazioni_annuali,partecipazioni_annuali_pkey,"CREATE UNIQUE INDEX partecipazioni_annuali_pkey ON public.partecipazioni_annuali USING btree (user_id, anno_accademico)"
public,partecipazioni_eventi,partecipazioni_eventi_pkey,"CREATE UNIQUE INDEX partecipazioni_eventi_pkey ON public.partecipazioni_eventi USING btree (evento_id, partecipante_id)"
public,partecipazioni_house_of_mentore,partecipazioni_house_of_mentore_pkey,"CREATE UNIQUE INDEX partecipazioni_house_of_mentore_pkey ON public.partecipazioni_house_of_mentore USING btree (evento_id, partecipante_id)"
public,partecipazioni_house_of_mentore,partecipazioni_house_opzione_idx,CREATE INDEX partecipazioni_house_opzione_idx ON public.partecipazioni_house_of_mentore USING btree (opzione_id)
